seed,selection_family,candidate_family,candidate,predictive_variance,selection_nll,candidate_h,candidate_q,candidate_r,selected
39128,factorized,online_em,0.002:0.08:0.2,,0.1428357435592842,0.002,0.08,0.2,False
39128,factorized,online_em,0.002:0.08:0.5,,0.14565960276968218,0.002,0.08,0.5,False
39128,factorized,online_em,0.002:0.2:0.08,,0.15305678676616585,0.002,0.2,0.08,False
39128,factorized,online_em,0.002:0.2:0.2,,0.10905344548164901,0.002,0.2,0.2,False
39128,factorized,online_em,0.002:0.2:0.5,,0.10607285632486574,0.002,0.2,0.5,False
39128,factorized,online_em,0.002:0.5:0.08,,0.15235750935081052,0.002,0.5,0.08,False
39128,factorized,online_em,0.002:0.5:0.2,,0.09835936196373861,0.002,0.5,0.2,True
39128,factorized,online_em,0.002:0.5:0.5,,0.10251482991297167,0.002,0.5,0.5,False
39128,factorized,online_em,0.01:0.08:0.08,,0.17045126918403733,0.01,0.08,0.08,False
39128,factorized,online_em,0.01:0.08:0.2,,0.14314385716237726,0.01,0.08,0.2,False
39128,factorized,online_em,0.01:0.08:0.5,,0.14247212691684327,0.01,0.08,0.5,False
39128,factorized,online_em,0.01:0.2:0.08,,0.1534340417492167,0.01,0.2,0.08,False
39128,factorized,online_em,0.01:0.2:0.2,,0.10973775043528462,0.01,0.2,0.2,False
39128,factorized,online_em,0.01:0.2:0.5,,0.10543638051288474,0.01,0.2,0.5,False
39128,factorized,online_em,0.01:0.5:0.08,,0.15442784866085846,0.01,0.5,0.08,False
39128,factorized,online_em,0.01:0.5:0.2,,0.09877284719469254,0.01,0.5,0.2,False
39128,factorized,online_em,0.01:0.5:0.5,,0.10248215189385035,0.01,0.5,0.5,False
39128,factorized,online_em,0.05:0.08:0.08,,0.17400708646368881,0.05,0.08,0.08,False
39128,factorized,online_em,0.05:0.08:0.2,,0.14030105099819884,0.05,0.08,0.2,False
39128,factorized,online_em,0.05:0.08:0.5,,0.14298481272516825,0.05,0.08,0.5,False
39128,factorized,online_em,0.05:0.2:0.08,,0.16079777043889767,0.05,0.2,0.08,False
39128,factorized,online_em,0.05:0.2:0.2,,0.11038770995960483,0.05,0.2,0.2,False
39128,factorized,online_em,0.05:0.2:0.5,,0.10932209847172429,0.05,0.2,0.5,False
39128,factorized,online_em,0.05:0.5:0.08,,0.16882186260324414,0.05,0.5,0.08,False
39128,factorized,online_em,0.05:0.5:0.2,,0.10589336340067597,0.05,0.5,0.2,False
39128,factorized,online_em,0.05:0.5:0.5,,0.10552969939366025,0.05,0.5,0.5,False
39128,seen_imm,seen_imm,0.00390625,,-0.0003140311255415649,,,,False
39128,seen_imm,seen_imm,0.0078125,,-0.004187487445462985,,,,False
39128,seen_imm,seen_imm,0.015625,,-0.005851593344122205,,,,True
39128,seen_imm,seen_imm,0.03125,,-0.003173165674673392,,,,False
39128,oracle_imm,oracle_imm,0.00390625,,0.00642014450207309,,,,False
39128,oracle_imm,oracle_imm,0.0078125,,0.0029959159221635487,,,,False
39128,oracle_imm,oracle_imm,0.015625,,0.0022245424298305374,,,,True
39128,oracle_imm,oracle_imm,0.03125,,0.006664821894308261,,,,False
